Case_ID,sale price in $100000,list price in $100000,taxes,location
1,16.75,15.99,6683,O
2,9.3,9.99999,6119,O
3,10.38,10.8,6477,O
4,11.325,11.99,6500,O
5,11.5,11.69,6494,O
6,28.35,29.999,10631,O
7,9.12,9.19,5352,O
8,8.5,8.999,4607,O
9,8.65,8.2499,4714,O
10,10.5,10.89,5706,O
11,10.75,11,5213,O
12,11.55,11.5,6067,O
13,12.95,13.58,5676,O
14,8.6,8.99,5740,O
15,11.1,12.49,6032,O
16,11.28,11.75,5717,O
17,17.55,17.99,,O
18,10.1,8.59,4829,O
19,32.2,32.4985,22244,O
20,9.99888,9.88888,5818,O
21,12.45,12.999,6083,O
22,10.13,10.499,5700,O
23,20.45,22.45,5280,O
24,10.55,9.79999,5448,O
25,20.45,22.45,5280,O
26,8.75,8.89,4476,O
27,7.65,7.699,4682,O
28,8.43,8.699,5241,O
29,9.75,9.89,4809,O
30,9.93,10.49,6102,O
31,9.05,9.2,4319,O
32,9.5,8.85,4895,O
33,9.25,9.5,4937,O
34,8.2,8.499,4084,O
35,9.1,9.39998,4680,O
36,11.57,11.5,5200,O
37,8.9,9.49,5031,O
38,11.5,11.5,6421,O
39,9.82,9.99,4970,O
40,10.95,11.2,6762,O
41,8,7.999,5686,O
42,22.125,22.79,14326,O
43,9.1,9.5,4768,O
44,8.1,8.999,4837,O
45,9.75,9.99999,4700,O
46,9.1,9.75,5628,O
47,9.5,9.9,4800,O
48,9.9,10.35,5344,O
49,9.7,10.49,5179,O
50,21.5,22.49,5420,O
51,13.8,12.999,7293,O
52,22.35,23.99,12220,O
53,11.15,11.99999,5139,O
54,11.75,11.99,5584,O
55,8.4,8.99888,5711,O
56,14.1,15.9,8587,O
57,9.75,9.75,4970,O
58,10.38,10.99,6249,O
59,9.9,9.999,6237,O
60,9,9.18888,4838,O
61,12.695,13.29,6595,O
62,11.49,12.49,8202,O
63,8.6,8.75,3924,O
64,10.2,9.99,5406,O
65,15,15.5,7852,O
66,9,9.25,4777,O
67,9.25,9.499,3201,O
68,24,26.28,14836,O
69,13,13.19999,6390,O
70,12.6,12.9,7131,O
71,8.6,8.698,4282,O
72,31,33.99,6589,O
73,11.15,11.35,5967,O
74,10.584,11.29,5348,O
75,9.5,9.8,4978,O
76,8.75,9.25,5546,O
77,10.47,10.98,4854,O
78,10.8,10.99,6191,O
79,20.8,21.89,12652,O
80,7.8,8.19,3950,O
81,13.7,14.65,9861,O
82,15.25,15.999,7672,O
83,12.3,12.499,6300,O
84,12.4,13,6064,O
85,8.1,8.28,4167,O
86,21.2,21.999,15259,O
87,9,9.75,4876,O
88,21.2,22.28,13220,O
89,20,19.9985,10948,O
90,14.8,14.9985,7299,O
91,12.22,12.49,7419,O
92,14.8,14.9985,8746,O
93,23.75,24.99,11768,O
94,13,13.74,5566,O
95,8.8,9.39,5911,O
96,12.45,12.9,5906,O
97,8.7,8.75,5488,O
98,12.1,12.5,5843,O
99,87.99,8.99,7225,O
100,8.38,8.8,3630,O
101,12.3,12.7,5410,O
102,25.08,26.8,2073,O
103,8.55,7.999,5118,O
104,11.5,11.89,6390,O
190,15.95,15.99,7419,X
191,10.38,10.80888,6477,X
192,28.35,29.999,10631,X
193,12.55,12.58888,8468,X
194,11.5,11.69,6494,X
195,12.3,12.58,6835,X
196,23.3,24.99888,,X
197,8.5,8.999,4607,X
198,8.65,8.2499,4714,X
199,11.22,11.949,5923,X
200,8.9,8.98,4360,X
201,11.2,11.35,6476,X
202,10.75,11,6796,X
203,14.25,14.25,6602,X
204,8.75,8.89,4476,X
205,8.65,7.999,4970,X
206,7.703,6.999,4883,X
207,13.95,14.5,6969,X
208,16.25,17.25,8152,X
209,11.5,11.996,6914,X
210,8.1,8.29,4480,X
211,9.5,8.85,4895,X
212,18.375,19.98,8622,X
213,9.25,9.5,4937,X
214,14.75,15.499,7742,X
215,8.175,8.39,4708,X
216,11.7,11.75,5931,X
217,16.2,18.8,6604,X
218,14.6,15.3888,8876,X
219,15.75,16.48,7608,X
220,9.82,9.99,4970,X
221,8.828,8.49897,5063,X
222,12.75,12.85,6967,X
223,11.4,11.6,6037,X
224,9.68,9.699,4773,X
225,12.2,12.72,5810,X
226,9.5,9.9,4800,X
227,7.75,7.9,4147,X
228,9.7,10.49,5179,X
229,8.98,9.049,4867,X
230,8.75,8.999,4518,X
231,13.8,13.8,7720,X
232,9.168,9.15,4755,X
233,13.375,13.5,7421,X
234,12.328,12.588,6654,X
235,9.7,9.75,5470,X
236,12.26,13.499,9314,X
237,0.835,8.699,4673,X
238,8.2,8.49,4476,X
239,12.6,12.9,7131,X
240,18.21,18.3,8305,X
241,8.6,8.698,4282,X
242,9.58,9.59999,4855,X
243,21,22.499,10318,X
244,8.82,8.85,4839,X
245,13.5,14.5,9076,X
246,9.5,9.8,4978,X
247,15.25,15.999,7672,X
248,9.2,9.99,5856,X
